id;nom_pers;prenom_pers;sexe;mobile;adresse;direction
1;invoice;Configuration Chicken;Masculin;Soap;Organized Direct payment;PEJA
2;monitoring Indiana bypass;portal;Feminin;Harbor;IB;PEJA
3;engine Berkshire;real-time;Masculin;background indexing;Tactics Krone;CPM
4;interface Sports Data;cross-media;Feminin;monitoring;Soft Persistent Central;DAGE
5;open-source;Account Salad;Masculin;lavender Optimization Bacon;port grey strategize;CPM
6;magenta withdrawal;payment compress disintermediate;Feminin;Supervisor Malawi navigating;Unbranded syndicate Cotton;BureauCourrier
7;Ports;bypass;Feminin;Configuration Oklahoma panel;solid Licensed Account;DRH
8;AI;bi-directional Producer Concrete;Masculin;solid Lead;transform;SEN32
9;engage;Fish;Feminin;monitoring Computer Pakistan;backing Associate;DE
10;Dakota Data;Plastic;Masculin;Pants Fantastic Omani;envisioneer cross-platform overriding;DAGE
